Date : 2022-11-18 15:18:53
Directory : c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE
Total : 92 files,  10073 codes, 544 comments, 502 blanks, all 11119 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\controllers\login.controller.js               | JavaScript |         23 |          0 |          3 |         26 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\db copy.json                                  | JSON       |        136 |          0 |          1 |        137 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\db.json                                       | JSON       |        180 |          0 |          0 |        180 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\index.html                                    | HTML       |        213 |          2 |          4 |        219 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\footer.js                                  | JavaScript |         30 |          1 |          4 |         35 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\header.js                                  | JavaScript |         39 |          7 |         14 |         60 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\main.js                                    | JavaScript |         70 |         13 |         16 |         99 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\modules\BtnLogin.js                        | JavaScript |         37 |          1 |          6 |         44 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\modules\Form.js                            | JavaScript |        190 |          2 |         19 |        211 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\modules\Modal.js                           | JavaScript |         48 |          0 |          5 |         53 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\modules\Spin.js                            | JavaScript |         13 |          0 |          4 |         17 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\modules\popup.js                           | JavaScript |         43 |          1 |          8 |         52 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\pages\alta.js                              | JavaScript |        114 |          0 |          8 |        122 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\pages\inicio.js                            | JavaScript |         28 |          2 |          3 |         33 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\pages\login.js                             | JavaScript |         54 |          0 |          8 |         62 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\pages\productos.js                         | JavaScript |         52 |          0 |          4 |         56 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\paramsPage.js                              | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\package-lock.json                             | JSON       |      5,432 |          0 |          1 |      5,433 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\package.json                                  | JSON       |         34 |          0 |          1 |         35 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\README.md                                | Markdown   |          4 |          0 |          4 |          8 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\abstracts\README.md                      | Markdown   |          4 |          0 |          4 |          8 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\abstracts\_functions.scss                | SCSS       |         12 |         20 |          4 |         36 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\abstracts\_mixins.scss                   | SCSS       |         29 |         10 |          3 |         42 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\abstracts\_variables.scss                | SCSS       |         14 |         26 |         32 |         72 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\README.md                           | Markdown   |          3 |          0 |          3 |          6 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\_base.scss                          | SCSS       |         19 |         13 |          4 |         36 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\_css-variables.scss                 | SCSS       |         11 |          3 |          5 |         19 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\_fonts.scss                         | SCSS       |          7 |          3 |          3 |         13 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\_helpers.scss                       | SCSS       |         27 |         23 |          5 |         55 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\_typography.scss                    | SCSS       |          2 |          5 |          1 |          8 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\base\_utilities.scss                     | SCSS       |         15 |          0 |          4 |         19 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\README.md                     | Markdown   |          3 |          0 |          3 |          6 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_btn.scss                     | SCSS       |         57 |          3 |          4 |         64 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_card.scss                    | SCSS       |        117 |          4 |         12 |        133 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_error-display__popup.scss    | SCSS       |         27 |          1 |          2 |         30 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_footer-nav.scss              | SCSS       |         35 |          0 |          4 |         39 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_form.scss                    | SCSS       |        124 |          9 |          8 |        141 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_github-link.scss             | SCSS       |         24 |          1 |          6 |         31 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_linkedin-link.scss           | SCSS       |         24 |          1 |          6 |         31 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_popup.scss                   | SCSS       |         17 |          4 |          5 |         26 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_section-card.scss            | SCSS       |         43 |          0 |          4 |         47 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\components\_spin.scss                    | SCSS       |         46 |          1 |          5 |         52 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\README.md                         | Markdown   |          3 |          0 |          3 |          6 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_hero.scss                        | SCSS       |         59 |          3 |          5 |         67 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_main-footer.scss                 | SCSS       |         97 |          3 |         11 |        111 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_main-header.scss                 | SCSS       |         61 |         11 |         12 |         84 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_main-nav-search-form-toggle.scss | SCSS       |         32 |          5 |          4 |         41 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_main.scss                        | SCSS       |         43 |          0 |          3 |         46 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_modal.scss                       | SCSS       |         69 |          0 |          7 |         76 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\layout\_search-form.scss                 | SCSS       |         65 |         24 |         14 |        103 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\main.scss                                | SCSS       |         30 |          8 |          8 |         46 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\pages\README.md                          | Markdown   |          4 |          0 |          4 |          8 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\pages\_home.scss                         | SCSS       |          0 |          3 |          1 |          4 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\themes\README.md                         | Markdown   |          4 |          0 |          4 |          8 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\themes\_default.scss                     | SCSS       |          0 |          4 |          1 |          5 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\vendors\README.md                        | Markdown   |          4 |          0 |          4 |          8 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\vendors\_normalize.scss                  | SCSS       |        146 |        131 |         75 |        352 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\sass\vendors\_reset.scss                      | SCSS       |         42 |          5 |          1 |         48 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\services\MessageService.js                    | JavaScript |         24 |          0 |          9 |         33 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\services\ProductService.js                    | JavaScript |         27 |          0 |         10 |         37 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\services\UserService.js                       | JavaScript |         28 |          0 |         10 |         38 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\templates\card.hbs                            | Handlebars |         12 |          0 |          0 |         12 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\templates\cards.hbs                           | Handlebars |         33 |          0 |          0 |         33 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\templates\modal.hbs                           | Handlebars |          9 |          0 |          0 |          9 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\views\alta.html                               | HTML       |         38 |          0 |          1 |         39 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\views\inicio.html                             | HTML       |         93 |        146 |          3 |        242 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\views\login.html                              | HTML       |         34 |          0 |          0 |         34 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\views\productos.html                          | HTML       |        448 |          0 |          2 |        450 |
| Total                                                                                                                 |            |     10,073 |        544 |        502 |     11,119 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
